ID	LABEL	OLD_VALUES	OLD_FIELDS	Parents	subset	cob_parent	obo_exact_match	xref_ontology	xref_literature_doi	nico_comment	definition	applicable_to	additional_information	abbreviation	has_exact_synonym	has_related_synonym	has_narrow_synonym	has_broad_synonym	xref_synonym	github_issue_link	contributors	contributor_orcid	Decision_OT_Team	Ontology_OT_remarks	Ontology_person	Decision_OT_Team	New_definition_file_link
ID	LABEL			SC %				A oboInOwl:hasDbXref			A IAO:0000115									AT IAO:0000233^^xsd:anyUri SPLIT=;		AI dc:contributor SPLIT=;					
TOSO:0000001	Order		Order		taxonomy																		remove_from_ontology	Cibele: I am not sure how or if there is need to link the taxonomic rank to our classes. I would remove this from ontology	n/a	wont_use	
TOSO:0000002	Family		Family		taxonomy																		remove_from_ontology	see above	n/a	wont_use	
TOSO:0000003	Genus		Genus		taxonomy																		remove_from_ontology	see above	n/a	wont_use	
TOSO:0000004	Species		species		taxonomy																		remove_from_ontology	see above	n/a	wont_use	
TOSO:0000005	Reproductive quality				Organismal quality	characteristic		PATO:0001434			An organismal quality inhering in a bearer by virtue of the bearer's ability to produce new life or offspring.	individual;population;species											existing-ontology-definition	Cibele: This will be our anchor to PATO for any reproductive characteristic that is "immaterial", until we have a better tree (CSC 23Apr2026)			
TOSO:0000006	Sexual system		Sexual system	Reproductive quality	Reproductive quality	characteristic			10.1038/sdata.2014.15		Morphological pattern of sex allocation or distribution of male and female function across individuals in a species.	part;individual;population;species	Alternative defined as: A pattern of sex allocation or a distribution of male and female function across organisms in a species (GSSO_011864); and An organismal quality inhering in a bearer by virtue of the organization of the systems of organs involved with sexual reproduction amongst the bearer's conspecifics (ECOCORE_00000061).							https://github.com/Tree-of-Sex/ToS-Ontology/issues/41	Sonia Garcia;Kamil Jaron;Nicole Valenzuela	https://orcid.org/0000-0001-5370-2370;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0003-1148-631X	ToS_new_definition, exsting-ontology-as-comment	Cibele: There are 2 existing definitions, 1 of each is almost identical to ours. Should we compromise and shift to reuse one of them as is?			
TOSO:0000007	Hermaphroditism	hermaphrodite	Sexual system_value	Sexual system	Reproductive quality	characteristic			10.1038/sdata.2014.15		A sexual system where both male and female sex organs are present.	part;individual;population;species								https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Chiara Benvenuto;Kamil Jaron;Jennifer Gresham;Alexandr Sember;Lukáš Kratochvíl;Joan Pere Pascual-Díaz;Caitlin McDonough-Goldstein	https://orcid.org/0000-0002-8378-8168;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0002-6085-3908;https://orcid.org/0000-0003-4441-9615;https://orcid.org/0000-0002-3515-729X;https://orcid.org/0000-0002-5984-6815;https://orcid.org/0000-0001-8949-7479	ToS_new_definition				
TOSO:0000008	Simultaneous hermaphroditism			Hermaphroditism	Reproductive quality	characteristic														https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Kamil Jaron;	https://orcid.org/0000-0003-1470-5450;					
TOSO:0000009	Sequential hermaphroditism			Hermaphroditism	Reproductive quality	characteristic										 dichogamy				https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Kamil Jaron;	https://orcid.org/0000-0003-1470-5450;					
TOSO:0000010	bidirectional sex-change			Sequential hermaphroditism	Reproductive quality	characteristic														https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Kamil Jaron;	https://orcid.org/0000-0003-1470-5450;					
TOSO:0000011	protandry			Sequential hermaphroditism	Reproductive quality	characteristic														https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Kamil Jaron;	https://orcid.org/0000-0003-1470-5450;					
TOSO:0000012	protogyny			Sequential hermaphroditism	Reproductive quality	characteristic														https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Kamil Jaron;	https://orcid.org/0000-0003-1470-5450;					
TOSO:0000013	Obligate hermaphroditism			Hermaphroditism	Reproductive quality	characteristic														https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Kamil Jaron;	https://orcid.org/0000-0003-1470-5450;					
TOSO:0000014	Facultative hermaphroditism			Hermaphroditism	Reproductive quality	characteristic														https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/99	Kamil Jaron;	https://orcid.org/0000-0003-1470-5450;					
